epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
68,666.468,0.5735,0.75273,0.99757,1.39547,0.000747982,0.000747982,0.000747982
69,675.991,0.57101,0.74493,0.99948,1.39534,0.000741136,0.000741136,0.000741136
70,685.55,0.56572,0.73895,0.99939,1.52717,0.000734231,0.000734231,0.000734231
71,695.119,0.56098,0.74814,0.99957,1.25756,0.000727268,0.000727268,0.000727268
72,704.677,0.568,0.74043,0.99931,1.67298,0.00072025,0.00072025,0.00072025
73,714.189,0.55906,0.74666,0.99905,1.32855,0.000713177,0.000713177,0.000713177
74,723.723,0.56414,0.75256,0.99931,1.45898,0.000706051,0.000706051,0.000706051
75,733.259,0.55748,0.75178,0.99844,1.22582,0.000698875,0.000698875,0.000698875
76,742.755,0.55914,0.74277,0.99922,1.47486,0.00069165,0.00069165,0.00069165
77,752.344,0.53469,0.75498,0.99861,1.32216,0.000684378,0.000684378,0.000684378
78,762.175,0.54843,0.75178,0.9987,1.46157,0.000677061,0.000677061,0.000677061
79,772.171,0.54187,0.75186,0.99939,1.35228,0.0006697,0.0006697,0.0006697
80,781.712,0.54388,0.75516,0.99957,1.4997,0.000662297,0.000662297,0.000662297
81,791.297,0.53252,0.75377,0.99922,1.5487,0.000654854,0.000654854,0.000654854
82,800.9,0.53565,0.74407,0.99913,1.56254,0.000647373,0.000647373,0.000647373
83,810.507,0.5289,0.75091,0.99974,1.4527,0.000639856,0.000639856,0.000639856
84,820.134,0.53077,0.76321,0.99948,1.51112,0.000632305,0.000632305,0.000632305
85,829.765,0.53298,0.76139,0.99905,1.3031,0.000624721,0.000624721,0.000624721
86,839.766,0.52537,0.7529,0.99922,1.42633,0.000617106,0.000617106,0.000617106
87,849.772,0.52936,0.75689,0.99818,1.21013,0.000609463,0.000609463,0.000609463
88,859.284,0.52495,0.76226,0.99922,1.3595,0.000601792,0.000601792,0.000601792
89,869.315,0.51875,0.75282,0.99931,1.43784,0.000594097,0.000594097,0.000594097
90,879.127,0.5113,0.75801,0.99931,1.34235,0.000586379,0.000586379,0.000586379
91,889.172,0.5241,0.76113,0.99887,1.37492,0.000578639,0.000578639,0.000578639
92,898.699,0.50871,0.76044,0.99896,1.40595,0.00057088,0.00057088,0.00057088
93,908.304,0.49945,0.75628,0.99879,1.44043,0.000563104,0.000563104,0.000563104
94,917.896,0.50121,0.75888,0.99922,1.40833,0.000555312,0.000555312,0.000555312
95,927.872,0.50044,0.76087,0.99939,1.5757,0.000547507,0.000547507,0.000547507
96,937.958,0.50056,0.74952,0.99896,1.42981,0.00053969,0.00053969,0.00053969
97,947.84,0.49635,0.76373,0.99879,1.38141,0.000531864,0.000531864,0.000531864
98,957.904,0.50398,0.75775,0.99939,1.39924,0.00052403,0.00052403,0.00052403
99,967.963,0.48869,0.75758,0.99827,1.42035,0.00051619,0.00051619,0.00051619
100,977.512,0.49825,0.7542,0.99939,1.57991,0.000508346,0.000508346,0.000508346
101,987.076,0.49402,0.76252,0.99931,1.51962,0.0005005,0.0005005,0.0005005
102,996.665,0.49258,0.76599,0.99948,1.34108,0.000492654,0.000492654,0.000492654
103,1006.27,0.48153,0.75559,0.99948,1.43066,0.00048481,0.00048481,0.00048481
104,1015.83,0.48408,0.76408,0.99896,1.4133,0.00047697,0.00047697,0.00047697
105,1025.38,0.47614,0.75888,0.99957,1.40209,0.000469136,0.000469136,0.000469136
106,1034.94,0.47643,0.76035,0.99931,1.49215,0.00046131,0.00046131,0.00046131
107,1044.49,0.48169,0.76616,0.99931,1.37182,0.000453493,0.000453493,0.000453493
108,1054.56,0.46021,0.76919,0.99931,1.47924,0.000445688,0.000445688,0.000445688
109,1064.14,0.469,0.76278,0.99922,1.4834,0.000437896,0.000437896,0.000437896
110,1073.78,0.46792,0.76573,0.99948,1.58093,0.00043012,0.00043012,0.00043012
111,1083.41,0.46513,0.76772,0.99965,1.52323,0.000422361,0.000422361,0.000422361
112,1093.12,0.45403,0.7646,0.99948,1.53494,0.000414621,0.000414621,0.000414621
113,1102.65,0.46128,0.75871,0.9987,1.43389,0.000406903,0.000406903,0.000406903
114,1112.58,0.45162,0.76902,0.99939,1.45453,0.000399208,0.000399208,0.000399208
115,1122.16,0.45966,0.76858,0.99948,1.54407,0.000391537,0.000391537,0.000391537
116,1131.99,0.44238,0.7704,0.99939,1.48989,0.000383894,0.000383894,0.000383894
117,1142.02,0.44638,0.76728,0.99939,1.55953,0.000376279,0.000376279,0.000376279
118,1151.92,0.44392,0.76382,0.99939,1.5141,0.000368695,0.000368695,0.000368695
119,1161.49,0.43584,0.7678,0.99913,1.53838,0.000361144,0.000361144,0.000361144
120,1171.07,0.44054,0.76495,0.99939,1.49788,0.000353627,0.000353627,0.000353627
121,1180.68,0.43871,0.76547,0.99939,1.47694,0.000346146,0.000346146,0.000346146
122,1190.99,0.43282,0.76278,0.99939,1.51906,0.000338703,0.000338703,0.000338703
123,1201.01,0.43848,0.76676,0.99965,1.48268,0.0003313,0.0003313,0.0003313
124,1211.15,0.4307,0.76685,0.99948,1.42697,0.000323939,0.000323939,0.000323939
125,1220.69,0.42562,0.77006,0.99922,1.43814,0.000316622,0.000316622,0.000316622
126,1230.21,0.42665,0.76728,0.99913,1.49771,0.00030935,0.00030935,0.00030935
127,1239.8,0.42115,0.76495,0.99939,1.47168,0.000302125,0.000302125,0.000302125
128,1249.73,0.41854,0.76399,0.99922,1.52123,0.000294949,0.000294949,0.000294949
129,1259.72,0.41612,0.76148,0.99939,1.43661,0.000287823,0.000287823,0.000287823
130,1269.29,0.41902,0.76521,0.99931,1.48026,0.00028075,0.00028075,0.00028075
131,1278.91,0.4142,0.76521,0.99957,1.50221,0.000273732,0.000273732,0.000273732
132,1288.54,0.40845,0.76754,0.99965,1.44451,0.000266769,0.000266769,0.000266769
133,1298.13,0.42263,0.76711,0.99948,1.49516,0.000259864,0.000259864,0.000259864
134,1307.71,0.40358,0.76711,0.99948,1.49669,0.000253018,0.000253018,0.000253018
135,1317.29,0.40191,0.77006,0.99948,1.49006,0.000246234,0.000246234,0.000246234
136,1326.86,0.39387,0.76538,0.99931,1.52072,0.000239512,0.000239512,0.000239512
